时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
4.419,326.030,-1470.000,337.632,-1583.400,500.000,500.000,146.030,0.013,渐进启摆,0
4.439,294.126,-709.200,307.397,-709.200,500.000,500.000,114.126,0.001,渐进启摆,0
4.459,308.628,1449.600,323.328,1417.200,-500.000,-500.000,128.628,0.012,渐进启摆,0
4.479,338.445,646.200,354.309,718.800,-500.000,-500.000,158.445,0.002,渐进启摆,0
4.499,323.591,-1329.000,338.467,-1542.000,500.000,500.000,143.591,0.010,渐进启摆,0
4.519,293.423,-692.400,310.430,-372.600,500.000,500.000,113.423,0.001,渐进启摆,0
4.540,307.200,1366.800,327.854,1440.000,-500.000,-500.000,127.200,0.010,渐进启摆,0
4.559,337.280,856.800,357.275,645.000,-500.000,-500.000,157.280,0.004,渐进启摆,0
4.579,324.119,-1262.400,340.027,-1572.600,500.000,500.000,144.119,0.009,渐进启摆,0
4.599,294.170,-690.000,309.529,-636.000,500.000,500.000,114.170,0.001,渐进启摆,0
4.619,309.045,1451.400,325.415,1448.400,-500.000,-500.000,129.045,0.012,渐进启摆,0
4.640,340.422,850.800,356.199,700.200,-500.000,-500.000,160.422,0.004,渐进启摆,0
4.660,326.536,-1252.800,338.467,-1599.600,500.000,500.000,146.536,0.009,渐进启摆,0
4.679,296.213,-739.800,307.244,-658.200,500.000,500.000,116.213,0.001,渐进启摆,0
4.699,311.155,1444.800,322.888,1446.600,-500.000,-500.000,131.155,0.012,渐进启摆,0
4.720,342.839,619.200,353.320,419.400,-500.000,-500.000,162.839,0.002,渐进启摆,0
4.740,328.909,-1236.600,335.457,-1507.200,500.000,500.000,148.909,0.009,渐进启摆,0
4.760,299.246,-707.400,304.958,-549.000,500.000,500.000,119.246,0.001,渐进启摆,0
4.779,313.989,1428.000,321.086,1298.400,-500.000,-500.000,133.989,0.012,渐进启摆,0
4.799,344.993,595.200,352.529,674.400,-500.000,-500.000,164.993,0.002,渐进启摆,0
4.819,331.150,-1193.400,336.621,-1523.400,500.000,500.000,151.150,0.008,渐进启摆,0
4.839,302.036,-757.800,306.255,-606.000,500.000,500.000,122.036,0.002,渐进启摆,0
4.859,316.692,1408.200,322.800,1439.400,-500.000,-500.000,136.692,0.011,渐进启摆,0
4.879,347.585,616.200,353.408,457.200,-500.000,-500.000,167.585,0.002,渐进启摆,0
4.899,333.677,-1256.400,335.325,-1542.000,500.000,500.000,153.677,0.009,渐进启摆,0
4.920,304.167,-778.200,304.387,-309.000,500.000,500.000,124.167,0.002,渐进启摆,0
4.940,319.263,1427.400,321.636,1421.400,-500.000,-500.000,139.263,0.012,渐进启摆,0
4.960,352.024,850.200,354.573,928.800,-500.000,-500.000,172.024,0.004,渐进启摆,0
4.980,340.532,-1231.800,339.829,-1503.600,500.000,500.000,160.532,0.009,渐进启摆,0
5.000,310.078,-993.000,308.518,-710.400,500.000,500.000,130.078,0.005,渐进启摆,0
5.020,323.657,1381.800,324.338,1559.400,-500.000,-500.000,143.657,0.011,渐进启摆,0
5.039,355.583,822.600,357.561,970.200,-500.000,-500.000,175.583,0.004,渐进启摆,0
5.060,343.586,-1211.400,342.949,-1461.000,500.000,500.000,163.586,0.009,渐进启摆,0
5.080,313.462,-921.000,311.375,-685.200,500.000,500.000,133.462,0.004,渐进启摆,0
5.099,326.667,1372.800,327.239,1533.000,-500.000,-500.000,146.667,0.011,渐进启摆,0
5.119,357.407,629.400,358.682,641.400,-500.000,-500.000,177.407,0.002,渐进启摆,0
5.140,342.971,-1309.800,340.928,-1591.200,500.000,500.000,162.971,0.011,渐进启摆,0
5.159,311.111,-804.000,309.727,-681.600,500.000,500.000,131.111,0.003,渐进启摆,0
5.179,324.426,1389.000,325.525,1476.600,-500.000,-500.000,144.426,0.011,渐进启摆,0
5.199,356.177,731.400,356.155,639.600,-500.000,-500.000,176.177,0.003,渐进启摆,0
5.219,341.389,-1383.600,338.379,-1612.200,500.000,500.000,161.389,0.012,渐进启摆,0
5.239,308.430,-787.800,307.793,-601.800,500.000,500.000,128.430,0.002,渐进启摆,0
5.259,322.185,1408.200,323.723,1408.200,-500.000,-500.000,142.185,0.012,渐进启摆,0
5.279,353.979,779.400,353.013,354.600,-500.000,-500.000,173.979,0.004,渐进启摆,0
5.299,339.324,-1479.000,335.061,-1455.600,500.000,500.000,159.324,0.013,渐进启摆,0
5.319,306.035,-793.200,306.299,-474.000,500.000,500.000,126.035,0.002,渐进启摆,0
5.339,319.768,1416.000,322.317,1321.800,-500.000,-500.000,139.768,0.012,渐进启摆,0
5.359,351.584,760.800,351.826,536.400,-500.000,-500.000,171.584,0.004,渐进启摆,0
5.380,336.467,-1507.800,334.885,-1350.600,500.000,500.000,156.467,0.014,渐进启摆,0
5.400,303.662,-801.600,306.343,-441.000,500.000,500.000,123.662,0.002,渐进启摆,0
5.420,317.615,1407.000,321.592,1252.800,-500.000,-500.000,137.615,0.011,渐进启摆,0
5.440,350.793,937.200,351.211,748.800,-500.000,-500.000,170.793,0.005,渐进启摆,0
5.460,337.676,-1411.800,335.457,-1327.200,500.000,500.000,157.676,0.012,渐进启摆,0
5.480,303.992,-1019.400,307.288,-475.800,500.000,500.000,123.992,0.005,渐进启摆,0
5.500,316.165,1402.200,323.438,1381.800,-500.000,-500.000,136.165,0.011,渐进启摆,0
5.520,348.992,771.600,353.979,548.400,-500.000,-500.000,168.992,0.004,渐进启摆,0
5.540,334.907,-1448.400,337.456,-1436.400,500.000,500.000,154.907,0.013,渐进启摆,0
5.560,301.157,-973.200,307.727,-762.000,500.000,500.000,121.157,0.004,渐进启摆,0
5.581,314.165,1416.600,322.625,1273.800,-500.000,-500.000,134.165,0.011,渐进启摆,0
