时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
4.880,264.836,-1264.800,198.765,1652.400,192.000,-240.000,84.836,0.006,0,能量启摆
4.900,241.501,-526.200,228.494,690.600,192.000,-240.000,61.501,-0.004,0,能量启摆
4.920,243.787,396.600,226.758,-421.200,192.000,-240.000,63.787,-0.005,0,能量启摆
4.940,256.531,898.800,210.103,-1111.800,192.000,-240.000,76.531,-0.000,0,能量启摆
4.959,275.977,1050.600,186.394,-1272.000,-264.000,336.000,95.977,0.003,0,能量启摆
4.980,291.775,99.600,166.487,-52.800,-264.000,336.000,111.775,-0.003,0,能量启摆
5.001,282.876,-819.000,177.979,1150.200,-264.000,336.000,102.876,0.001,0,能量启摆
5.020,259.717,-1369.200,207.312,1651.800,192.000,-240.000,79.717,0.007,0,能量启摆
5.040,236.997,-339.000,236.514,561.000,192.000,-240.000,56.997,-0.006,0,能量启摆
5.060,239.656,477.600,234.031,-517.800,192.000,-240.000,59.656,-0.005,0,能量启摆
5.080,252.576,778.200,217.024,-1075.800,192.000,-240.000,72.576,-0.002,0,能量启摆
5.100,271.648,1050.000,193.184,-1246.200,-264.000,336.000,91.648,0.003,0,能量启摆
5.120,287.666,70.200,172.529,-154.800,-264.000,336.000,107.666,-0.003,0,能量启摆
5.140,279.185,-850.800,183.120,1082.400,-264.000,336.000,99.185,0.001,0,能量启摆
5.160,256.201,-1313.400,211.377,1608.600,192.000,-240.000,76.201,0.006,0,能量启摆
5.180,233.306,-502.800,240.688,681.000,192.000,-240.000,53.306,-0.005,0,能量启摆
5.200,234.207,352.200,239.041,-473.400,192.000,-240.000,54.207,-0.006,0,能量启摆
5.220,247.983,757.200,222.012,-972.600,192.000,-240.000,67.983,-0.002,0,能量启摆
5.240,266.946,963.000,197.908,-1274.400,192.000,-240.000,86.946,0.001,0,能量启摆
5.260,288.391,1104.000,171.321,-1339.200,-264.000,336.000,108.391,0.005,0,能量启摆
5.280,306.035,186.600,149.919,-184.800,-264.000,336.000,126.035,-0.001,0,能量启摆
5.300,298.367,-790.200,159.917,1034.400,-264.000,336.000,118.367,0.002,0,能量启摆
5.320,276.130,-1320.000,188.262,1646.400,-264.000,336.000,96.130,0.007,0,能量启摆
5.340,248.291,-1485.600,224.055,1797.000,192.000,-240.000,68.291,0.008,0,能量启摆
5.360,223.022,-514.800,256.311,734.400,192.000,-240.000,43.022,-0.005,0,能量启摆
5.380,225.066,442.200,255.168,-433.800,192.000,-240.000,45.066,-0.006,0,能量启摆
5.400,236.953,770.400,238.228,-1054.200,192.000,-240.000,56.953,-0.003,0,能量启摆
5.420,255.850,1039.800,213.904,-1303.800,192.000,-240.000,75.850,0.002,0,能量启摆
5.440,277.361,1105.200,187.449,-1371.600,-264.000,336.000,97.361,0.004,0,能量启摆
5.460,294.829,138.000,166.135,-198.000,-264.000,336.000,114.829,-0.002,0,能量启摆
5.480,286.743,-797.400,176.375,1069.200,-264.000,336.000,106.743,0.001,0,能量启摆
5.500,264.836,-1267.800,205.291,1633.200,192.000,-240.000,84.836,0.006,0,能量启摆
5.520,241.809,-420.000,235.437,580.200,192.000,-240.000,61.809,-0.005,0,能量启摆
5.540,244.160,400.800,232.998,-552.000,192.000,-240.000,64.160,-0.005,0,能量启摆
5.560,257.080,921.600,216.716,-1015.200,192.000,-240.000,77.080,0.000,0,能量启摆
5.580,276.614,1075.200,193.008,-1254.000,-264.000,336.000,96.614,0.004,0,能量启摆
5.600,292.961,76.200,172.925,-143.400,-264.000,336.000,112.961,-0.002,0,能量启摆
5.620,284.788,-790.800,183.494,1080.000,-264.000,336.000,104.788,0.001,0,能量启摆
5.640,262.288,-1302.600,211.641,1601.400,192.000,-240.000,82.288,0.006,0,能量启摆
5.659,239.480,-380.400,241.128,687.000,192.000,-240.000,59.480,-0.005,0,能量启摆
5.680,242.424,472.800,239.480,-461.400,192.000,-240.000,62.424,-0.005,0,能量启摆
5.700,255.168,825.600,222.319,-1009.800,192.000,-240.000,75.168,-0.001,0,能量启摆
5.719,274.438,1073.400,198.435,-1276.800,-264.000,336.000,94.438,0.003,0,能量启摆
