时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
5.640,358.066,124.200,359.912,0.000,-180.000,-0.000,178.066,表3-1四状态,0
5.660,359.736,-129.000,359.912,0.000,180.000,-0.000,179.736,表3-1四状态,0
5.680,358.066,125.400,359.912,0.000,-180.000,-0.000,178.066,表3-1四状态,0
5.700,359.451,-114.000,359.912,0.000,180.000,-0.000,179.451,表3-1四状态,0
5.720,357.869,133.200,359.912,0.000,-180.000,-0.000,177.869,表3-1四状态,0
5.740,359.451,-117.600,359.912,0.000,180.000,-0.000,179.451,表3-1四状态,0
5.760,357.803,123.600,359.912,0.000,-180.000,-0.000,177.803,表3-1四状态,0
5.780,359.495,-121.800,359.912,0.000,180.000,-0.000,179.495,表3-1四状态,0
5.800,358.110,122.400,359.912,-5.400,-180.000,1.620,178.110,表3-1四状态,0
5.820,359.692,-133.800,359.912,0.000,180.000,-0.000,179.692,表3-1四状态,0
5.840,358.132,129.600,359.912,0.000,-180.000,-0.000,178.132,表3-1四状态,0
5.860,359.758,-128.400,359.912,0.000,180.000,-0.000,179.758,表3-1四状态,0
5.880,358.154,129.600,359.912,0.000,-180.000,-0.000,178.154,表3-1四状态,0
5.900,359.473,-135.600,359.912,0.000,180.000,-0.000,179.473,表3-1四状态,0
5.920,357.847,136.200,359.912,0.000,-180.000,-0.000,177.847,表3-1四状态,0
5.940,359.517,-141.600,359.912,4.800,180.000,-1.440,179.517,表3-1四状态,0
5.960,358.110,141.600,359.912,0.000,-180.000,-0.000,178.110,表3-1四状态,0
5.980,359.714,-154.800,359.912,0.000,180.000,-0.000,179.714,表3-1四状态,0
6.000,358.088,147.600,359.912,0.000,-180.000,-0.000,178.088,表3-1四状态,0
6.020,359.868,-148.200,359.912,0.000,180.000,-0.000,179.868,表3-1四状态,0
6.040,357.979,166.800,359.912,0.000,-180.000,-0.000,177.979,表3-1四状态,0
6.060,359.912,-159.600,359.912,0.000,180.000,-0.000,179.912,表3-1四状态,0
6.080,358.308,146.400,359.890,0.000,-180.000,-0.000,178.308,表3-1四状态,0
6.100,0.352,-189.000,359.912,0.000,180.000,-0.000,179.648,表3-1四状态,0
6.121,358.220,202.200,359.890,0.000,-180.000,-0.000,178.220,表3-1四状态,0
6.140,0.615,-202.800,359.890,0.000,180.000,-0.000,179.385,表3-1四状态,0
6.160,358.132,192.000,359.890,0.000,-180.000,-0.000,178.132,表3-1四状态,0
6.180,0.022,-177.600,359.890,0.000,180.000,-0.000,179.978,表3-1四状态,0
