时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
2.620,273.120,-1300.800,12.480,1594.200,-264.000,336.000,93.120,0.007,0,能量启摆
2.640,245.127,-1491.000,48.098,1854.600,180.000,-240.000,65.127,0.008,0,能量启摆
2.660,219.243,-700.200,81.628,810.000,180.000,-240.000,39.243,-0.004,0,能量启摆
2.680,219.661,317.400,80.332,-361.200,180.000,-240.000,39.661,-0.007,0,能量启摆
2.700,229.680,634.200,65.830,-952.200,180.000,-240.000,49.680,-0.004,0,能量启摆
2.719,246.401,898.800,42.935,-1265.400,180.000,-240.000,66.401,-0.001,0,能量启摆
2.740,265.913,1033.800,16.370,-1329.600,180.000,-240.000,85.913,0.002,0,能量启摆
2.760,287.139,1095.600,348.464,-1475.400,-264.000,336.000,107.139,0.005,0,能量启摆
2.780,303.992,135.600,325.811,-302.400,-264.000,336.000,123.992,-0.002,0,能量启摆
2.800,296.038,-709.800,336.555,1030.200,-264.000,336.000,116.038,0.001,0,能量启摆
2.819,274.658,-1282.800,3.450,1573.200,-264.000,336.000,94.658,0.007,0,能量启摆
2.839,246.709,-1415.400,38.606,1875.000,180.000,-240.000,66.709,0.007,0,能量启摆
2.859,221.199,-635.400,71.235,822.000,180.000,-240.000,41.199,-0.005,0,能量启摆
2.879,222.122,319.200,70.334,-354.600,180.000,-240.000,42.122,-0.007,0,能量启摆
2.900,231.943,682.200,54.668,-978.600,180.000,-240.000,51.943,-0.004,0,能量启摆
2.920,249.082,908.400,31.245,-1284.600,180.000,-240.000,69.082,-0.000,0,能量启摆
2.940,269.077,1097.400,4.548,-1434.600,180.000,-240.000,89.077,0.003,0,能量启摆
2.960,290.369,1043.400,336.292,-1489.800,-264.000,336.000,110.369,0.004,0,能量启摆
2.980,307.266,155.400,313.572,-257.400,-264.000,336.000,127.266,-0.001,0,能量启摆
3.000,298.301,-724.200,324.360,953.400,-264.000,336.000,118.301,0.001,0,能量启摆
3.019,277.361,-1265.400,350.969,1623.600,-264.000,336.000,97.361,0.006,0,能量启摆
3.039,249.719,-1425.000,26.125,1884.600,180.000,-240.000,69.719,0.007,0,能量启摆
3.059,224.978,-622.200,59.128,858.600,180.000,-240.000,44.978,-0.005,0,能量启摆
3.079,225.483,317.400,57.942,-373.200,180.000,-240.000,45.483,-0.006,0,能量启摆
3.099,237.041,827.400,42.979,-986.400,180.000,-240.000,57.041,-0.002,0,能量启摆
3.120,254.971,1027.800,19.160,-1306.800,180.000,-240.000,74.971,0.001,0,能量启摆
3.139,275.186,999.600,352.485,-1416.000,-264.000,336.000,95.186,0.003,0,能量启摆
3.159,290.940,62.400,329.941,-277.200,-264.000,336.000,110.940,-0.003,0,能量启摆
3.180,281.228,-751.200,340.774,947.400,-264.000,336.000,101.228,0.000,0,能量启摆
3.200,259.255,-1263.600,8.525,1665.600,180.000,-240.000,79.255,0.005,0,能量启摆
3.220,235.920,-465.600,38.914,703.800,180.000,-240.000,55.920,-0.005,0,能量启摆
3.240,238.162,398.400,37.419,-394.200,180.000,-240.000,58.162,-0.005,0,能量启摆
3.260,248.840,699.000,21.511,-1036.800,180.000,-240.000,68.840,-0.003,0,能量启摆
3.280,266.331,960.000,357.803,-1239.600,180.000,-240.000,86.331,0.001,0,能量启摆
3.300,286.567,1100.400,330.732,-1337.400,-264.000,336.000,106.567,0.005,0,能量启摆
3.320,303.179,190.200,308.079,-293.400,-264.000,336.000,123.179,-0.002,0,能量启摆
3.340,295.488,-724.200,317.812,1025.400,-264.000,336.000,115.488,0.001,0,能量启摆
3.360,273.274,-1315.800,345.300,1621.200,-264.000,336.000,93.274,0.007,0,能量启摆
3.380,245.149,-1440.600,20.742,1855.200,180.000,-240.000,65.149,0.007,0,能量启摆
3.400,219.397,-646.800,54.229,793.200,180.000,-240.000,39.397,-0.005,0,能量启摆
3.420,220.232,347.400,53.262,-420.000,180.000,-240.000,40.232,-0.007,0,能量启摆
3.440,230.823,667.800,37.727,-1014.600,180.000,-240.000,50.823,-0.004,0,能量启摆
3.459,247.742,895.800,14.941,-1243.200,180.000,-240.000,67.742,-0.001,0,能量启摆
3.479,267.451,1077.000,348.025,-1432.800,180.000,-240.000,87.451,0.003,0,能量启摆
3.499,288.743,1078.200,320.076,-1455.600,-264.000,336.000,108.743,0.004,0,能量启摆
3.520,305.046,27.600,297.817,-162.600,-264.000,336.000,125.046,-0.002,0,能量启摆
3.539,296.587,-725.400,308.540,964.800,-264.000,336.000,116.587,0.001,0,能量启摆
3.559,274.658,-1323.000,335.984,1689.600,-264.000,336.000,94.658,0.007,0,能量启摆
3.580,246.313,-1455.600,11.492,1916.400,180.000,-240.000,66.313,0.008,0,能量启摆
3.600,220.979,-556.800,44.363,622.200,180.000,-240.000,40.979,-0.005,0,能量启摆
3.619,222.253,328.800,42.209,-477.600,180.000,-240.000,42.253,-0.006,0,能量启摆
3.639,233.240,724.200,26.279,-1039.200,180.000,-240.000,53.240,-0.003,0,能量启摆
3.659,250.840,943.200,2.439,-1284.600,180.000,-240.000,70.840,0.000,0,能量启摆
3.680,271.077,1117.800,335.237,-1485.600,-264.000,336.000,91.077,0.004,0,能量启摆
3.699,287.446,18.000,313.748,-103.800,-264.000,336.000,107.446,-0.003,0,能量启摆
3.719,279.536,-727.800,324.734,949.200,-264.000,336.000,99.536,-0.000,0,能量启摆
3.740,256.597,-1324.800,353.232,1711.800,180.000,-240.000,76.597,0.006,0,能量启摆
3.760,232.559,-504.600,23.313,679.200,180.000,-240.000,52.559,-0.005,0,能量启摆
3.780,232.800,300.600,21.753,-474.600,180.000,-240.000,52.800,-0.006,0,能量启摆
3.800,244.797,715.200,5.361,-1076.400,180.000,-240.000,64.797,-0.003,0,能量启摆
3.820,262.244,908.400,341.323,-1257.000,180.000,-240.000,82.244,0.000,0,能量启摆
3.840,282.327,1010.400,314.275,-1363.800,-264.000,336.000,102.327,0.003,0,能量启摆
3.860,298.191,85.200,292.324,-162.600,-264.000,336.000,118.191,-0.002,0,能量启摆
3.880,290.017,-879.600,302.146,1093.800,-264.000,336.000,110.017,0.002,0,能量启摆
3.901,267.034,-1358.400,330.183,1613.400,180.000,-240.000,87.034,0.007,0,能量启摆
3.921,243.501,-544.200,0.659,744.600,180.000,-240.000,63.501,-0.004,0,能量启摆
3.940,243.171,261.000,0.374,-350.400,180.000,-240.000,63.171,-0.006,0,能量启摆
3.960,255.388,880.200,344.312,-1014.000,180.000,-240.000,75.388,-0.000,0,能量启摆
3.980,273.472,1032.000,320.383,-1341.600,-264.000,336.000,93.472,0.003,0,能量启摆
4.000,288.918,7.800,300.081,-52.200,-264.000,336.000,108.918,-0.003,0,能量启摆
4.020,280.811,-724.800,310.430,954.000,-264.000,336.000,100.811,-0.000,0,能量启摆
4.040,258.618,-1290.000,338.379,1673.400,180.000,-240.000,78.618,0.005,0,能量启摆
4.060,235.876,-411.000,7.910,669.600,180.000,-240.000,55.876,-0.005,0,能量启摆
4.080,238.184,343.200,5.889,-418.800,180.000,-240.000,58.184,-0.006,0,能量启摆
4.100,249.500,760.200,349.563,-1099.200,180.000,-240.000,69.500,-0.002,0,能量启摆
4.120,267.407,1010.400,325.679,-1242.600,180.000,-240.000,87.407,0.002,0,能量启摆
4.140,287.864,1119.000,298.586,-1339.200,-264.000,336.000,107.864,0.005,0,能量启摆
4.160,303.442,6.000,277.471,-162.000,-264.000,336.000,123.442,-0.002,0,能量启摆
4.180,295.225,-782.400,287.578,1079.400,-264.000,336.000,115.225,0.001,0,能量启摆
4.200,272.395,-1345.200,315.439,1550.400,-264.000,336.000,92.395,0.007,0,能量启摆
4.221,243.567,-1519.800,351.870,1909.800,180.000,-240.000,63.567,0.009,0,能量启摆
4.241,217.969,-564.000,24.346,729.600,180.000,-240.000,37.969,-0.005,0,能量启摆
4.260,218.101,292.800,23.730,-346.200,180.000,-240.000,38.101,-0.007,0,能量启摆
4.281,228.999,660.600,9.382,-959.400,180.000,-240.000,48.999,-0.004,0,能量启摆
4.300,245.457,886.200,346.465,-1258.200,180.000,-240.000,65.457,-0.001,0,能量启摆
4.321,264.727,973.200,320.383,-1375.800,180.000,-240.000,84.727,0.001,0,能量启摆
4.341,285.601,1124.400,292.983,-1375.200,-264.000,336.000,105.601,0.005,0,能量启摆
4.361,302.783,194.400,270.264,-331.200,-264.000,336.000,122.783,-0.002,0,能量启摆
4.381,297.664,-579.600,276.768,686.400,-264.000,336.000,117.664,-0.000,0,能量启摆
4.400,277.690,-1212.600,301.575,1510.800,-264.000,336.000,97.690,0.006,0,能量启摆
4.421,250.027,-1526.400,336.643,1886.400,180.000,-240.000,70.027,0.009,0,能量启摆
4.441,223.792,-696.600,9.844,800.400,180.000,-240.000,43.792,-0.004,0,能量启摆
4.461,222.605,193.200,9.404,-265.800,180.000,-240.000,42.605,-0.007,0,能量启摆
4.481,231.570,666.600,357.166,-829.200,180.000,-240.000,51.570,-0.004,0,能量启摆
4.500,248.884,930.000,334.600,-1333.200,180.000,-240.000,68.884,-0.000,0,能量启摆
4.520,268.967,1105.200,308.254,-1357.200,180.000,-240.000,88.967,0.003,0,能量启摆
4.539,290.325,1048.800,280.547,-1413.000,-264.000,336.000,110.325,0.004,0,能量启摆
4.559,306.123,31.200,258.069,-256.800,-264.000,336.000,126.123,-0.002,0,能量启摆
4.579,296.763,-776.400,266.638,940.800,-264.000,336.000,116.763,0.002,0,能量启摆
4.599,274.614,-1326.000,293.708,1591.200,-264.000,336.000,94.614,0.007,0,能量启摆
4.619,246.577,-1445.400,328.667,1845.600,180.000,-240.000,66.577,0.007,0,能量启摆
4.639,221.616,-606.000,1.011,733.200,180.000,-240.000,41.616,-0.005,0,能量启摆
4.659,223.022,343.200,0.945,-340.200,180.000,-240.000,43.022,-0.006,0,能量启摆
4.680,234.294,774.600,346.223,-980.400,180.000,-240.000,54.294,-0.003,0,能量启摆
4.699,252.048,985.200,322.778,-1252.200,180.000,-240.000,72.048,0.001,0,能量启摆
4.719,272.263,1119.000,296.016,-1335.600,-264.000,336.000,92.263,0.004,0,能量启摆
4.739,288.105,52.800,274.043,-234.600,-264.000,336.000,108.105,-0.003,0,能量启摆
4.759,279.514,-786.000,282.458,937.800,-264.000,336.000,99.514,0.000,0,能量启摆
4.779,256.948,-1306.200,309.880,1554.000,180.000,-240.000,76.948,0.006,0,能量启摆
4.799,234.229,-439.200,339.258,670.800,180.000,-240.000,54.229,-0.005,0,能量启摆
4.819,236.646,433.200,336.182,-445.800,180.000,-240.000,56.646,-0.005,0,能量启摆
4.839,248.049,724.200,322.119,-1027.200,180.000,-240.000,68.049,-0.002,0,能量启摆
4.859,265.452,930.600,298.718,-1236.600,180.000,-240.000,85.452,0.001,0,能量启摆
4.879,285.776,1103.400,272.439,-1388.400,-264.000,336.000,105.776,0.005,0,能量启摆
4.899,301.750,157.800,251.345,-138.000,-264.000,336.000,121.750,-0.002,0,能量启摆
4.919,293.621,-804.000,260.925,901.200,-264.000,336.000,113.621,0.002,0,能量启摆
4.939,270.637,-1357.800,287.292,1644.600,-264.000,336.000,90.637,0.007,0,能量启摆
4.959,242.336,-1468.800,322.603,1885.800,180.000,-240.000,62.336,0.007,0,能量启摆
4.979,217.375,-498.600,354.595,747.600,180.000,-240.000,37.375,-0.006,0,能量启摆
4.999,218.188,367.200,352.397,-424.800,180.000,-240.000,38.188,-0.007,0,能量启摆
5.019,229.878,678.000,338.467,-962.400,180.000,-240.000,49.878,-0.004,0,能量启摆
5.040,247.148,936.600,315.000,-1270.800,180.000,-240.000,67.148,-0.000,0,能量启摆
5.059,266.924,1045.800,288.677,-1351.200,180.000,-240.000,86.924,0.003,0,能量启摆
5.079,288.215,1133.400,261.035,-1401.000,-264.000,336.000,108.215,0.005,0,能量启摆
