时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
4.660,352.617,94.800,340.884,57.000,-220.000,-220.000,172.617,0.000,文献能量启摆,0
4.679,355.693,-98.400,341.982,-84.600,220.000,220.000,175.693,0.000,文献能量启摆,0
4.699,353.342,86.400,340.774,54.000,-220.000,-220.000,173.342,0.000,文献能量启摆,0
4.720,356.331,-87.600,342.092,-74.400,220.000,220.000,176.331,0.000,文献能量启摆,0
4.739,353.738,89.400,340.884,63.600,-220.000,-220.000,173.738,0.000,文献能量启摆,0
4.759,356.484,-84.600,341.895,-73.200,220.000,220.000,176.484,0.000,文献能量启摆,0
4.779,354.441,91.800,340.686,52.200,-220.000,-220.000,174.441,0.000,文献能量启摆,0
4.799,357.231,-88.800,342.026,-79.200,220.000,220.000,177.231,0.000,文献能量启摆,0
4.819,355.078,89.400,340.818,69.600,-220.000,-220.000,175.078,0.000,文献能量启摆,0
4.839,357.363,-82.800,342.422,-66.600,220.000,220.000,177.363,0.000,文献能量启摆,0
4.859,355.891,86.400,341.367,64.800,-220.000,-220.000,175.891,0.000,文献能量启摆,0
4.879,357.825,-72.000,343.059,-58.200,220.000,220.000,177.825,0.000,文献能量启摆,0
4.899,356.616,75.600,341.960,58.800,-220.000,-220.000,176.616,0.000,文献能量启摆,0
4.919,358.110,-66.600,343.564,-49.800,220.000,220.000,178.110,0.000,文献能量启摆,0
4.939,357.363,72.600,342.576,63.000,-220.000,-220.000,177.363,0.000,文献能量启摆,0
4.959,358.506,-58.800,343.718,-64.800,206.881,220.000,178.506,0.000,文献能量启摆,0
4.979,357.693,56.400,342.444,48.000,-198.439,-220.000,177.693,0.000,文献能量启摆,0
4.999,358.352,-47.400,343.674,-55.200,166.775,208.469,178.352,0.000,文献能量启摆,0
5.019,357.605,35.400,342.378,35.400,-124.556,-155.695,177.605,0.000,文献能量启摆,0
5.039,357.913,-23.400,343.191,-24.000,82.335,102.918,177.913,0.000,文献能量启摆,0
5.059,357.737,7.200,342.795,15.600,-25.334,-31.668,177.737,-0.000,文献能量启摆,0
5.079,357.825,-4.800,342.927,0.000,16.889,21.112,177.825,-0.000,文献能量启摆,0
5.099,357.847,0.000,342.927,0.000,60.000,75.000,177.847,-0.000,文献能量启摆,0
5.119,358.000,16.800,343.147,30.000,-59.112,-73.890,178.000,-0.000,文献能量启摆,0
5.139,358.220,-5.400,343.389,-10.800,19.000,23.751,178.220,-0.000,文献能量启摆,0
5.159,358.220,4.800,343.345,0.000,-16.889,-21.112,178.220,-0.000,文献能量启摆,0
5.180,358.220,0.000,343.345,0.000,60.000,75.000,178.220,-0.000,文献能量启摆,0
5.199,358.352,17.400,343.477,7.200,-61.223,-76.529,178.352,0.000,文献能量启摆,0
5.219,358.572,0.000,343.608,-11.400,60.000,75.000,178.572,-0.000,文献能量启摆,0
5.239,358.638,5.400,343.652,22.200,-19.000,-23.751,178.638,-0.000,文献能量启摆,0
5.259,358.879,0.000,343.806,-4.800,60.000,75.000,178.879,-0.000,文献能量启摆,0
5.279,359.121,39.600,344.070,29.400,-139.332,-174.165,179.121,0.000,文献能量启摆,0
5.299,359.429,-17.400,344.707,-24.000,61.223,76.529,179.429,0.000,文献能量启摆,0
5.319,359.209,4.800,344.443,6.600,-16.889,-21.112,179.209,-0.000,文献能量启摆,0
5.339,359.275,0.000,344.509,0.000,60.000,75.000,179.275,-0.000,文献能量启摆,0
5.360,359.363,6.600,344.641,7.800,-23.223,-29.028,179.363,0.000,文献能量启摆,0
5.380,359.495,-10.200,344.795,0.000,35.890,44.862,179.495,0.000,文献能量启摆,0
5.399,359.561,5.400,344.861,5.400,-19.000,-23.750,179.561,0.000,文献能量启摆,0
5.419,359.692,0.000,345.059,0.000,60.000,75.000,179.692,-0.000,文献能量启摆,0
